id,vehicle,player,damage,isWin,createTime
610,349,关少锦棠,8221,胜利,2021-09-15 16:35:26
611,144,Redbull屑狐狸,7263,胜利,2021-09-15 16:40:47
612,313,Redbull屑狐狸,5404,失败,2021-09-15 16:51:43
613,272,ICFC_爱迪生_想要PRO,7053,,2021-09-15 16:51:58
614,344,关少锦棠,7089,胜利,2021-09-15 16:56:06
615,35,SCJ_LiJiangINN,8641,胜利,2021-09-15 16:56:17
616,133,轰翻你的臀,4520,胜利,2021-09-15 17:05:24
617,31,轰翻你的臀,4918,胜利,2021-09-15 17:30:03
618,129,轰翻你的臀,5635,胜利,2021-09-15 17:30:08
619,30,轰翻你的臀,6317,胜利,2021-09-15 17:30:14
620,209,欧尔埋特,3336,胜利,2021-09-15 17:30:23
621,383,Ymaz_智障氪孤_NHG8,6129,胜利,2021-09-15 17:31:12
622,32,IFA_团小闹钟_万场氪孤,4212,胜利,2021-09-15 17:31:19
623,146,Cloud9.Shroud,5838,胜利,2021-09-15 17:31:31
624,142,Cloud9.Shroud,5352,胜利,2021-09-15 17:31:39
625,193,Cloud9.Shroud,3517,胜利,2021-09-15 17:31:50
627,26,一只快乐の小鲨雕,7474,胜利,2021-09-15 17:32:14
628,129,奥黛莉亲王,6320,胜利,2021-09-15 17:53:12
629,198,轰翻你的臀,5064,胜利,2021-09-15 19:33:56
630,322,Kinuhata_Saiai,7116,失败,2021-09-15 19:34:50
631,322,Kinuhata_Saiai,6212,胜利,2021-09-15 19:35:17
632,356,yuzekunkun,8400,胜利,2021-09-15 19:35:24
633,164,HK416,5006,胜利,2021-09-15 19:44:00
634,166,取名超浪费脑细胞,5204,失败,2021-09-15 19:44:26
635,26,SSDasReich,6835,胜利,2021-09-15 19:45:25
636,26,SSDasReich,6905,胜利,2021-09-15 19:45:37
637,362,豹豹酱是个RBQ呀,5555,胜利,2021-09-15 19:45:45
638,221,豹豹酱是个RBQ呀,6118,胜利,2021-09-15 19:45:59
639,392,太平洋_9,6320,胜利,2021-09-15 19:46:05
640,323,KZT085,4763,胜利,2021-09-15 19:46:19
641,34,豹豹酱是个RBQ呀,6070,胜利,2021-09-15 19:46:58
642,435,苏·维·埃·之·辉,4841,胜利,2021-09-15 19:47:14
643,314,豹豹酱是个RBQ呀,6154,胜利,2021-09-15 19:47:21
644,423,苏·维·埃·之·辉,7161,胜利,2021-09-15 19:47:33
645,326,苏·维·埃·之·辉,6072,胜利,2021-09-15 19:47:40
646,134,苏·维·埃·之·辉,7576,胜利,2021-09-15 19:47:44
647,34,司徒氏辛德拉,4688,胜利,2021-09-15 19:47:50
648,254,FRACH-谭雅-跑得飞快,4335,胜利,2021-09-15 19:53:42
649,255,FRACH-谭雅-跑得飞快,7244,胜利,2021-09-15 19:53:54
650,153,FRACH-谭雅-跑得飞快,4610,胜利,2021-09-15 19:54:02
651,449,KZT085,3363,胜利,2021-09-15 20:22:54
652,268,KZT085,4536,胜利,2021-09-15 20:23:02
653,468,48酱,7013,平局,2021-09-15 20:23:16
654,127,Montpellier_★,7695,胜利,2021-09-15 20:23:27
655,118,你游底层玩家,5386,胜利,2021-09-15 20:23:44
656,362,HK416,5117,失败,2021-09-15 20:25:41
657,34,接班人_winner,5959,失败,2021-09-15 20:26:05
658,432,AF_誓言,3849,胜利,2021-09-15 20:26:16
659,160,cH_悠然の挚爱_虾桑,4721,胜利,2021-09-15 20:26:29
660,255,御坂10777号,7992,胜利,2021-09-15 20:26:41
661,424,Bloodstream,3959,失败,2021-09-15 20:26:49
662,306,cH_悠然の挚爱_虾桑,8397,胜利,2021-09-15 20:27:12
663,210,AF_誓言,3385,胜利,2021-09-15 20:59:39
664,427,AF_誓言,5416,胜利,2021-09-15 20:59:51
666,135,AF_誓言,4141,胜利,2021-09-15 21:01:45
667,317,豹豹酱是个RBQ呀,5753,胜利,2021-09-15 21:01:55
668,128,豹豹酱是个RBQ呀,6197,胜利,2021-09-15 21:02:26
669,254,豹豹酱是个RBQ呀,4881,胜利,2021-09-15 21:03:02
670,310,御坂10777号,5091,失败,2021-09-15 21:03:18
671,232,豹豹酱是个RBQ呀,3174,胜利,2021-09-15 21:03:40
672,450,豹豹酱是个RBQ呀,5107,胜利,2021-09-15 21:04:17
674,136,ArianaGrande,4694,胜利,2021-09-15 21:05:19
675,175,HK416,3768,胜利,2021-09-15 21:07:24
676,132,ArianaGrande,4233,胜利,2021-09-15 21:07:33
677,31,SAC联赛白给-终结2018,6165,胜利,2021-09-15 21:33:33
678,34,LordChen,6033,胜利,2021-09-15 21:33:40
679,221,玩福煦必没马,6630,胜利,2021-09-15 21:34:29
680,317,M28ask,8427,胜利,2021-09-15 21:35:13
681,329,Alm_misaka_CN,5881,胜利,2021-09-15 21:36:19
682,449,LIGht_快乐白给_最强孤,3747,胜利,2021-09-15 21:37:41
683,331,川皇丶斯基,4072,失败,2021-09-15 21:42:05
684,126,LordChen,4973,胜利,2021-09-15 21:52:35
685,130,LordChen,4646,胜利,2021-09-15 21:52:43
686,403,LordChen,4854,胜利,2021-09-15 21:53:02
687,66,LordChen,966,胜利,2021-09-15 21:53:12
688,370,LordChen,4262,胜利,2021-09-15 21:53:24
689,352,LordChen,3765,胜利,2021-09-15 22:02:51
690,412,LordChen,951,胜利,2021-09-15 22:03:21
691,128,SoC-Misaka,6741,胜利,2021-09-15 22:03:40
692,119,LordChen,2132,胜利,2021-09-15 22:03:47
693,328,LordKen_iron,4297,胜利,2021-09-15 22:03:59
694,354,SoC-Misaka,5101,胜利,2021-09-15 22:04:06
695,131,SoC-Misaka,5268,胜利,2021-09-15 22:09:16
696,128,jhjjh_2021,7455,胜利,2021-09-15 22:09:27
697,313,Montpellier_★,5641,胜利,2021-09-16 00:02:57
698,211,SoC-Misaka,5490,胜利,2021-09-16 00:03:23
699,36,SXE_彼夜、时雨未央,6023,胜利,2021-09-16 08:08:19
700,388,Montpellier,4443,胜利,2021-09-16 08:09:53
701,183,SoC-Misaka,4031,胜利,2021-09-16 08:10:05
702,140,SXE_彼夜、时雨未央,5981,胜利,2021-09-16 08:10:16
703,251,无害又可爱の雪风酱哒,6771,胜利,2021-09-16 08:10:26
704,140,SXE_彼夜、时雨未央,6019,胜利,2021-09-16 09:08:25
705,367,无害又可爱の雪风酱哒,8183,胜利,2021-09-16 09:08:32
706,383,SXE_彼夜、时雨未央,5561,胜利,2021-09-16 09:08:39
707,114,SXE_彼夜、时雨未央,4077,胜利,2021-09-16 09:08:49
708,314,Montpellier_★,5849,胜利,2021-09-16 09:08:57
709,399,无害又可爱の雪风酱哒,4805,胜利,2021-09-16 09:09:02
710,130,SoC-Misaka,7315,胜利,2021-09-16 09:11:30
